admin.Abbreviation,Abbreviation,1
admin.about.AdminDirectoryChanged,Admin Directory Changed:,1
admin.about.Details,Details,1
admin.about.FreeShippingRateSelection,Free Shipping Rate Selection:,1
admin.about.FreeShippingThreshold,Free Shipping Threshold:,1
admin.about.GatewayInformation,Gateway Information:,1
admin.about.LicensedDomains,Licensed Domains:,1
admin.about.LicensedDomainsNote,Note: This list shows domains that have recently passed a licensing check in the current AspDotNetStorefront instance.  It may not reflect every domain that the key above is valid for.,1
admin.about.LicenseInformation,License Information:,1
admin.about.LicenseKey,License Key:,1
admin.about.LocalizationInformation,Localization Information:,1
admin.about.LocalizationStoreCurrency,Localization Store Currency:,1
admin.about.LocalizationStoreCurrencyCode,Localization Store Currency Code:,1
admin.about.OriginCountry,Origin Country:,1
admin.about.OriginState,Origin State:,1
admin.about.OriginZip,Origin Zip:,1
admin.about.ShippingCalculation,Shipping Calculation:,1
admin.about.ShippingInformation,Shipping Information:,1
admin.about.SystemInformation,System Information:,1
admin.AddState,Create State,1
admin.adhoccharge.OriginalOrderLastFour,(Original Order Last4: {0},1
admin.adhoccharge.ViewedCardNumber,Viewed card number: {0} while making adhoc charge from order: {1},1
admin.adjustcharge.AdjustChargeForOrder,Adjust Charge CAPTURE Total For Order:,1
admin.adjustcharge.AppliesToAuthWarning,This capability ONLY applies to AUTH transactions before CAPTURE!,1
admin.adjustcharge.CustomerServiceNotes,Customer Service Notes For Order:,1
admin.adjustcharge.ManualAdjustWarning,Manually adjust the order total before CAPTURING it.,1
admin.adjustcharge.NewOrderTotal,New Order Total:,1
admin.affiliate.Create,Create Affiliate,1
admin.Affiliate.Edit,Edit Affiliate,1
admin.affiliates.Affiliates,Manage Affiliates,1
admin.amazontransaction.UpdateTransaction,UPDATE TRANSACTION:,1
admin.appconfig.AddSettings,Create Setting,1
admin.appconfig.ConfigGroups,Setting Group:,1
admin.appconfig.SearchFields,"Search Name, Description, Value",1
admin.appconfig.SettingUpdated,Setting Updated,1
admin.atom.integerError,Invalid Number for {0}. Make sure to check MoreStore settings.,1
admin.atom.moreStoreSettings,MoreStore Settings,1
admin.avalara.NotEnabled,AvaTax is not enabled. Enable AvaTax by setting the AvalaraTax.Enabled Setting to True.,1
admin.avalara.TestFailureError,AvaTax connection was not successful. AvaTax returned the following message: {0},1
admin.avalara.TestFailureException,Connection test failed due to an exception:<br />,1
admin.avalara.TestFailureGeneric,AvaTax connection was not successful. Please review your configuration.,1
admin.avalara.TestSuccess,Successfully connected to AvaTax.,1
admin.BadWord.EnterBadWordBelow,"Enter Bad Word Below, then click Save:",1
admin.BadWord.EntryRequired,Please enter the bad word to add,1
admin.BadWord.ExistingBadWord,Bad word entry already exists!,1
admin.BadWord.OnlyForNewComments,Only For New Comments,1
admin.braintree.notransactionid,No stored Braintree transaction ID found for this order!,1
admin.bulkeditprices.bulkclearsalesprice,Bulk Clear Prices,1
admin.bulkeditprices.bulksavesalesprice,Bulk Set Prices,1
admin.bulkeditprices.ConfirmBatchClear,Are you sure you want to clear all product sale prices? Only products returned from the search below will be updated.,1
admin.bulkeditprices.ConfirmBatchUpdate,Are you sure you want to update all product sale prices?  Only products returned from the search below will be updated.,1
admin.bulkeditprices.integerrequired,Please enter a number.,1
admin.bulkeditprices.invalidformat,Invalid format,1
